cy_id,contract_target,adolescent_fert_1000,working_age_pop_ratio,fixed_phone_subs,dfi_inflows_usd,gdp_usd,gdp_growth_pct,imp_sanitation_access_pct,imp_water_access_pct,inflation_pct,internet_access_pct,merch_exports_usd,merch_imports_usd,mortality_rate_under5_opct,pop_over_65,pop_under_15,pop_female_pct,pop_total,pop_rural_pct
Switzerland_2012,1,3.4930000000000003,47.5151649756025,4721981.0,26287656999.2272,468347542995.041,1.1246293105261,99.9,100.0,-0.21359913517167695,85.2,225948762000.0,197786932000.0,4.3,17.3485795427633,14.8617759666782,50.638780708765296,7996861.0,26.261
Switzerland_2013,1,3.2754,47.907244969192895,4593321.0,-22724632072.6187,476631817468.74,1.7688305613223,99.9,100.0,-0.0197627653501229,86.34,229156592000.0,200933948000.0,4.2,17.5987123091709,14.791348241021801,50.579001440990886,8089346.0,26.213
Switzerland_2014,1,3.0578,48.369601349817714,4374700.0,22741199962.9654,485637665766.78,1.88947694383224,99.9,100.0,-0.710143057429448,87.0,238809509431.0,202663198754.0,4.0,17.8373971838849,14.763347416628802,50.525934547201096,8190229.0,26.156
Syrian Arab Republic_2004,1,50.041000000000004,73.78501334862709,2658000.0,275000000.0,27174167153.8316,6.90000000448445,91.1,88.5,10.3293384395259,4.32159377785571,7378000000.0,8411096000.0,19.6,3.3850834372034297,39.0725554160435,48.840603730903396,17671913.0,46.583
Syrian Arab Republic_2005,0,48.211999999999996,72.71610418111301,2903139.0,500000000.0,28858965517.2414,6.19999999952987,91.7,88.7,11.966431610479901,5.6481060488391694,8708000000.0,10862223000.0,18.8,3.40392862850732,38.6975908133981,48.8392553136458,18132842.0,46.217
Syrian Arab Republic_2006,0,46.383,70.59440420258221,3243000.0,659000000.0,30301913792.6121,4.99999999829737,92.3,88.9,7.78974735847375,7.8325515688878715,10919371000.0,11488279000.0,18.0,3.42618617913094,37.9552439636484,48.9186948024904,18728200.0,45.846000000000004
Syrian Arab Republic_2007,1,44.553999999999995,68.98405039667189,3452000.0,1241959115.11048,32029122877.7149,5.69999999644881,92.9,89.1,11.9671724819106,11.5,11545710000.0,14655130000.0,17.3,3.44768811995842,37.3751293203498,49.057097189857295,19425597.0,45.471000000000004
Tajikistan_2004,0,41.457,75.2739745295641,273400.0,272025100.0,2167145558.11872,10.3000000000038,91.7,63.6,17.5185234206135,0.0774799071356825,914900000.0,1191300000.0,69.5,3.77400688923996,39.1724572002518,49.751463558488595,6666628.0,73.583
Tajikistan_2005,0,41.76,72.69659380189279,280200.0,54479300.0,2312344310.51263,6.6999999999981705,92.1,64.6,9.51572656323452,0.298690023682825,909000000.0,1330000000.0,65.2,3.74346040168067,38.3515179655742,49.7354920283206,6805655.0,73.567
Tajikistan_2007,0,42.36600000000001,68.1019103272851,292730.0,359967400.0,2667196668.40396,7.80000000000203,92.7,66.6,27.2370124730789,7.19761951797855,1468000000.0,2455000000.0,58.6,3.61451247996026,36.8977637902466,49.7487611319927,7099021.0,73.53399999999999
Tajikistan_2008,0,41.788000000000004,66.3777600051009,286940.0,375787400.0,2877905205.20777,7.8999999999961785,93.0,67.6,28.163759838491107,8.78,1408700000.0,3272600000.0,56.2,3.50971151099686,36.38610148892921,49.7599279411619,7254072.0,73.517
Tajikistan_2009,0,41.21,64.8716717810884,347260.0,15819400.0,2987265603.00563,3.79999999999879,93.4,68.6,12.2342494769346,10.07,1010300000.0,2569600000.0,54.3,3.4085686234315498,35.9381979134075,49.752163194407,7414960.0,73.5
Tajikistan_2010,0,40.632,63.537945150254096,367693.0,-15675300.0,3181437867.20114,6.50000000000479,93.7,69.7,12.461666769646001,11.55,1195300000.0,2656900000.0,52.6,3.32503439863587,35.5270773188479,49.715855133205004,7581696.0,73.484
Tajikistan_2011,0,40.054,62.902443728363295,380000.0,67496200.0,3416864269.37389,7.399999999995542,94.0,70.7,13.3243562019595,13.03,1256800000.0,3206000000.0,50.9,3.26691320847184,35.3466534690495,49.6465725422931,7753925.0,73.467
Tajikistan_2012,0,39.476,62.310062679546,393000.0,198280200.0,3673129089.57697,7.50000000000128,94.4,71.7,11.8685150302297,14.51,1359700000.0,3778200000.0,49.3,3.20209650092694,35.1874288623691,49.553766021609796,7930929.0,73.432
